:START_ID,:END_ID,relation,:TYPE
186,13186,Si-max,Si-max
187,13187,Si-max,Si-max
188,13188,Si-max,Si-max
189,13189,Si-max,Si-max
190,13190,Si-max,Si-max
191,13191,Si-max,Si-max
192,13192,Si-max,Si-max
193,13193,Si-max,Si-max
194,13194,Si-max,Si-max
195,13195,Si-max,Si-max
196,13196,Si-max,Si-max
197,13197,Si-max,Si-max
198,13198,Si-max,Si-max
199,13199,Si-max,Si-max
200,13200,Si-max,Si-max
201,13201,Si-max,Si-max
202,13202,Si-max,Si-max
203,13203,Si-max,Si-max
204,13204,Si-max,Si-max
205,13205,Si-max,Si-max
206,13206,Si-max,Si-max
207,13207,Si-max,Si-max
208,13208,Si-max,Si-max
209,13209,Si-max,Si-max
210,13210,Si-max,Si-max
211,13211,Si-max,Si-max
212,13212,Si-max,Si-max
214,13213,Si-max,Si-max
215,13214,Si-max,Si-max
216,13215,Si-max,Si-max
217,13216,Si-max,Si-max
218,13217,Si-max,Si-max
219,13218,Si-max,Si-max
220,13219,Si-max,Si-max
221,13220,Si-max,Si-max
222,13221,Si-max,Si-max
223,13222,Si-max,Si-max
224,13223,Si-max,Si-max
225,13224,Si-max,Si-max
1,14001,Si-min,Si-min
2,14002,Si-min,Si-min
3,14003,Si-min,Si-min
4,14004,Si-min,Si-min
5,14005,Si-min,Si-min
6,14006,Si-min,Si-min
7,14007,Si-min,Si-min
8,14008,Si-min,Si-min
9,14009,Si-min,Si-min
10,14010,Si-min,Si-min
11,14011,Si-min,Si-min
12,14012,Si-min,Si-min
13,14013,Si-min,Si-min
14,14014,Si-min,Si-min
15,14015,Si-min,Si-min
16,14016,Si-min,Si-min
17,14017,Si-min,Si-min
18,14018,Si-min,Si-min
19,14019,Si-min,Si-min
20,14020,Si-min,Si-min
21,14021,Si-min,Si-min
22,14022,Si-min,Si-min
23,14023,Si-min,Si-min
24,14024,Si-min,Si-min
25,14025,Si-min,Si-min
26,14026,Si-min,Si-min
27,14027,Si-min,Si-min
28,14028,Si-min,Si-min
29,14029,Si-min,Si-min
30,14030,Si-min,Si-min
31,14031,Si-min,Si-min
32,14032,Si-min,Si-min
33,14033,Si-min,Si-min
34,14034,Si-min,Si-min
35,14035,Si-min,Si-min
36,14036,Si-min,Si-min
37,14037,Si-min,Si-min
38,14038,Si-min,Si-min
39,14039,Si-min,Si-min
40,14040,Si-min,Si-min
41,14041,Si-min,Si-min
42,14042,Si-min,Si-min
43,14043,Si-min,Si-min
44,14044,Si-min,Si-min
45,14045,Si-min,Si-min
46,14046,Si-min,Si-min
47,14047,Si-min,Si-min
48,14048,Si-min,Si-min
49,14049,Si-min,Si-min
50,14050,Si-min,Si-min
51,14051,Si-min,Si-min
52,14052,Si-min,Si-min
53,14053,Si-min,Si-min
54,14054,Si-min,Si-min
55,14055,Si-min,Si-min
56,14056,Si-min,Si-min
57,14057,Si-min,Si-min
58,14058,Si-min,Si-min
59,14059,Si-min,Si-min
60,14060,Si-min,Si-min
61,14061,Si-min,Si-min
62,14062,Si-min,Si-min
63,14063,Si-min,Si-min
64,14064,Si-min,Si-min
65,14065,Si-min,Si-min
66,14066,Si-min,Si-min
67,14067,Si-min,Si-min
68,14068,Si-min,Si-min
69,14069,Si-min,Si-min
70,14070,Si-min,Si-min
71,14071,Si-min,Si-min
72,14072,Si-min,Si-min
73,14073,Si-min,Si-min
74,14074,Si-min,Si-min
75,14075,Si-min,Si-min
76,14076,Si-min,Si-min
77,14077,Si-min,Si-min
78,14078,Si-min,Si-min
79,14079,Si-min,Si-min
80,14080,Si-min,Si-min
81,14081,Si-min,Si-min
82,14082,Si-min,Si-min
83,14083,Si-min,Si-min
84,14084,Si-min,Si-min
85,14085,Si-min,Si-min
86,14086,Si-min,Si-min
87,14087,Si-min,Si-min
88,14088,Si-min,Si-min
89,14089,Si-min,Si-min
90,14090,Si-min,Si-min
91,14091,Si-min,Si-min
92,14092,Si-min,Si-min
93,14093,Si-min,Si-min
94,14094,Si-min,Si-min
95,14095,Si-min,Si-min
96,14096,Si-min,Si-min
97,14097,Si-min,Si-min
98,14098,Si-min,Si-min
99,14099,Si-min,Si-min
100,14100,Si-min,Si-min
101,14101,Si-min,Si-min
102,14102,Si-min,Si-min
103,14103,Si-min,Si-min
104,14104,Si-min,Si-min
105,14105,Si-min,Si-min
106,14106,Si-min,Si-min
107,14107,Si-min,Si-min
108,14108,Si-min,Si-min
109,14109,Si-min,Si-min
110,14110,Si-min,Si-min
111,14111,Si-min,Si-min
112,14112,Si-min,Si-min
113,14113,Si-min,Si-min
114,14114,Si-min,Si-min
115,14115,Si-min,Si-min
116,14116,Si-min,Si-min
117,14117,Si-min,Si-min
118,14118,Si-min,Si-min
119,14119,Si-min,Si-min
120,14120,Si-min,Si-min
121,14121,Si-min,Si-min
122,14122,Si-min,Si-min
123,14123,Si-min,Si-min
124,14124,Si-min,Si-min
125,14125,Si-min,Si-min
126,14126,Si-min,Si-min
127,14127,Si-min,Si-min
128,14128,Si-min,Si-min
129,14129,Si-min,Si-min
130,14130,Si-min,Si-min
131,14131,Si-min,Si-min
132,14132,Si-min,Si-min
133,14133,Si-min,Si-min
134,14134,Si-min,Si-min
135,14135,Si-min,Si-min
136,14136,Si-min,Si-min
137,14137,Si-min,Si-min
138,14138,Si-min,Si-min
139,14139,Si-min,Si-min
140,14140,Si-min,Si-min
141,14141,Si-min,Si-min
142,14142,Si-min,Si-min
143,14143,Si-min,Si-min
144,14144,Si-min,Si-min
145,14145,Si-min,Si-min
146,14146,Si-min,Si-min
147,14147,Si-min,Si-min
148,14148,Si-min,Si-min
149,14149,Si-min,Si-min
150,14150,Si-min,Si-min
151,14151,Si-min,Si-min
152,14152,Si-min,Si-min
153,14153,Si-min,Si-min
154,14154,Si-min,Si-min
155,14155,Si-min,Si-min
156,14156,Si-min,Si-min
157,14157,Si-min,Si-min
158,14158,Si-min,Si-min
159,14159,Si-min,Si-min
160,14160,Si-min,Si-min
161,14161,Si-min,Si-min
162,14162,Si-min,Si-min
163,14163,Si-min,Si-min
164,14164,Si-min,Si-min
165,14165,Si-min,Si-min
166,14166,Si-min,Si-min
167,14167,Si-min,Si-min
168,14168,Si-min,Si-min
169,14169,Si-min,Si-min
170,14170,Si-min,Si-min
171,14171,Si-min,Si-min
172,14172,Si-min,Si-min
173,14173,Si-min,Si-min
174,14174,Si-min,Si-min
175,14175,Si-min,Si-min
176,14176,Si-min,Si-min
177,14177,Si-min,Si-min
178,14178,Si-min,Si-min
179,14179,Si-min,Si-min
180,14180,Si-min,Si-min
181,14181,Si-min,Si-min
182,14182,Si-min,Si-min
183,14183,Si-min,Si-min
184,14184,Si-min,Si-min
185,14185,Si-min,Si-min
186,14186,Si-min,Si-min
187,14187,Si-min,Si-min
188,14188,Si-min,Si-min
189,14189,Si-min,Si-min
190,14190,Si-min,Si-min
191,14191,Si-min,Si-min
192,14192,Si-min,Si-min
193,14193,Si-min,Si-min
194,14194,Si-min,Si-min
195,14195,Si-min,Si-min
196,14196,Si-min,Si-min
197,14197,Si-min,Si-min
198,14198,Si-min,Si-min
199,14199,Si-min,Si-min
200,14200,Si-min,Si-min
201,14201,Si-min,Si-min
202,14202,Si-min,Si-min
203,14203,Si-min,Si-min
204,14204,Si-min,Si-min
205,14205,Si-min,Si-min
206,14206,Si-min,Si-min
207,14207,Si-min,Si-min
208,14208,Si-min,Si-min
209,14209,Si-min,Si-min
210,14210,Si-min,Si-min
211,14211,Si-min,Si-min
212,14212,Si-min,Si-min
214,14213,Si-min,Si-min
215,14214,Si-min,Si-min
216,14215,Si-min,Si-min
217,14216,Si-min,Si-min
218,14217,Si-min,Si-min
219,14218,Si-min,Si-min
220,14219,Si-min,Si-min
221,14220,Si-min,Si-min
222,14221,Si-min,Si-min
223,14222,Si-min,Si-min
224,14223,Si-min,Si-min
225,14224,Si-min,Si-min
1,15001,Mn-max,Mn-max
2,15002,Mn-max,Mn-max
3,15003,Mn-max,Mn-max
4,15004,Mn-max,Mn-max
5,15005,Mn-max,Mn-max
6,15006,Mn-max,Mn-max
7,15007,Mn-max,Mn-max
8,15008,Mn-max,Mn-max
9,15009,Mn-max,Mn-max
10,15010,Mn-max,Mn-max
11,15011,Mn-max,Mn-max
12,15012,Mn-max,Mn-max
13,15013,Mn-max,Mn-max
14,15014,Mn-max,Mn-max
15,15015,Mn-max,Mn-max
16,15016,Mn-max,Mn-max
17,15017,Mn-max,Mn-max
18,15018,Mn-max,Mn-max
19,15019,Mn-max,Mn-max
20,15020,Mn-max,Mn-max
21,15021,Mn-max,Mn-max
22,15022,Mn-max,Mn-max
23,15023,Mn-max,Mn-max
24,15024,Mn-max,Mn-max
25,15025,Mn-max,Mn-max
26,15026,Mn-max,Mn-max
27,15027,Mn-max,Mn-max
28,15028,Mn-max,Mn-max
29,15029,Mn-max,Mn-max
30,15030,Mn-max,Mn-max
31,15031,Mn-max,Mn-max
32,15032,Mn-max,Mn-max
33,15033,Mn-max,Mn-max
34,15034,Mn-max,Mn-max
35,15035,Mn-max,Mn-max
36,15036,Mn-max,Mn-max
37,15037,Mn-max,Mn-max
38,15038,Mn-max,Mn-max
39,15039,Mn-max,Mn-max
40,15040,Mn-max,Mn-max
41,15041,Mn-max,Mn-max
42,15042,Mn-max,Mn-max
43,15043,Mn-max,Mn-max
44,15044,Mn-max,Mn-max
45,15045,Mn-max,Mn-max
46,15046,Mn-max,Mn-max
47,15047,Mn-max,Mn-max
48,15048,Mn-max,Mn-max
49,15049,Mn-max,Mn-max
50,15050,Mn-max,Mn-max
51,15051,Mn-max,Mn-max
52,15052,Mn-max,Mn-max
53,15053,Mn-max,Mn-max
54,15054,Mn-max,Mn-max
55,15055,Mn-max,Mn-max
56,15056,Mn-max,Mn-max
57,15057,Mn-max,Mn-max
58,15058,Mn-max,Mn-max
59,15059,Mn-max,Mn-max
60,15060,Mn-max,Mn-max
61,15061,Mn-max,Mn-max
62,15062,Mn-max,Mn-max
63,15063,Mn-max,Mn-max
64,15064,Mn-max,Mn-max
65,15065,Mn-max,Mn-max
66,15066,Mn-max,Mn-max
67,15067,Mn-max,Mn-max
68,15068,Mn-max,Mn-max
69,15069,Mn-max,Mn-max
70,15070,Mn-max,Mn-max
71,15071,Mn-max,Mn-max
72,15072,Mn-max,Mn-max
73,15073,Mn-max,Mn-max
74,15074,Mn-max,Mn-max
75,15075,Mn-max,Mn-max
76,15076,Mn-max,Mn-max
77,15077,Mn-max,Mn-max
78,15078,Mn-max,Mn-max
79,15079,Mn-max,Mn-max
80,15080,Mn-max,Mn-max
81,15081,Mn-max,Mn-max
82,15082,Mn-max,Mn-max
83,15083,Mn-max,Mn-max
84,15084,Mn-max,Mn-max
85,15085,Mn-max,Mn-max
86,15086,Mn-max,Mn-max
87,15087,Mn-max,Mn-max
88,15088,Mn-max,Mn-max
89,15089,Mn-max,Mn-max
90,15090,Mn-max,Mn-max
91,15091,Mn-max,Mn-max
92,15092,Mn-max,Mn-max
93,15093,Mn-max,Mn-max
94,15094,Mn-max,Mn-max
95,15095,Mn-max,Mn-max
96,15096,Mn-max,Mn-max
97,15097,Mn-max,Mn-max
98,15098,Mn-max,Mn-max
99,15099,Mn-max,Mn-max
100,15100,Mn-max,Mn-max
101,15101,Mn-max,Mn-max
102,15102,Mn-max,Mn-max
103,15103,Mn-max,Mn-max
104,15104,Mn-max,Mn-max
105,15105,Mn-max,Mn-max
106,15106,Mn-max,Mn-max
107,15107,Mn-max,Mn-max
108,15108,Mn-max,Mn-max
