:START_ID,:END_ID,relation,:TYPE
215,11213,C-max,C-max
216,11214,C-max,C-max
217,11215,C-max,C-max
218,11216,C-max,C-max
219,11217,C-max,C-max
220,11218,C-max,C-max
221,11219,C-max,C-max
222,11220,C-max,C-max
223,11221,C-max,C-max
224,11222,C-max,C-max
225,11223,C-max,C-max
1,12000,C-min,C-min
2,12001,C-min,C-min
3,12002,C-min,C-min
4,12003,C-min,C-min
5,12004,C-min,C-min
6,12005,C-min,C-min
7,12006,C-min,C-min
8,12007,C-min,C-min
9,12008,C-min,C-min
10,12009,C-min,C-min
11,12010,C-min,C-min
12,12011,C-min,C-min
13,12012,C-min,C-min
14,12013,C-min,C-min
15,12014,C-min,C-min
16,12015,C-min,C-min
17,12016,C-min,C-min
18,12017,C-min,C-min
19,12018,C-min,C-min
20,12019,C-min,C-min
21,12020,C-min,C-min
22,12021,C-min,C-min
23,12022,C-min,C-min
24,12023,C-min,C-min
25,12024,C-min,C-min
26,12025,C-min,C-min
27,12026,C-min,C-min
28,12027,C-min,C-min
29,12028,C-min,C-min
30,12029,C-min,C-min
31,12030,C-min,C-min
32,12031,C-min,C-min
33,12032,C-min,C-min
34,12033,C-min,C-min
35,12034,C-min,C-min
36,12035,C-min,C-min
37,12036,C-min,C-min
38,12037,C-min,C-min
39,12038,C-min,C-min
40,12039,C-min,C-min
41,12040,C-min,C-min
42,12041,C-min,C-min
43,12042,C-min,C-min
44,12043,C-min,C-min
45,12044,C-min,C-min
46,12045,C-min,C-min
47,12046,C-min,C-min
48,12047,C-min,C-min
49,12048,C-min,C-min
50,12049,C-min,C-min
51,12050,C-min,C-min
52,12051,C-min,C-min
53,12052,C-min,C-min
54,12053,C-min,C-min
55,12054,C-min,C-min
56,12055,C-min,C-min
57,12056,C-min,C-min
58,12057,C-min,C-min
59,12058,C-min,C-min
60,12059,C-min,C-min
61,12060,C-min,C-min
62,12061,C-min,C-min
63,12062,C-min,C-min
64,12063,C-min,C-min
65,12064,C-min,C-min
66,12065,C-min,C-min
67,12066,C-min,C-min
68,12067,C-min,C-min
69,12068,C-min,C-min
70,12069,C-min,C-min
71,12070,C-min,C-min
72,12071,C-min,C-min
73,12072,C-min,C-min
74,12073,C-min,C-min
75,12074,C-min,C-min
76,12075,C-min,C-min
77,12076,C-min,C-min
78,12077,C-min,C-min
79,12078,C-min,C-min
80,12079,C-min,C-min
81,12080,C-min,C-min
82,12081,C-min,C-min
83,12082,C-min,C-min
84,12083,C-min,C-min
85,12084,C-min,C-min
86,12085,C-min,C-min
87,12086,C-min,C-min
88,12087,C-min,C-min
89,12088,C-min,C-min
90,12089,C-min,C-min
91,12090,C-min,C-min
92,12091,C-min,C-min
93,12092,C-min,C-min
94,12093,C-min,C-min
95,12094,C-min,C-min
96,12095,C-min,C-min
97,12096,C-min,C-min
98,12097,C-min,C-min
99,12098,C-min,C-min
100,12099,C-min,C-min
101,12100,C-min,C-min
102,12101,C-min,C-min
103,12102,C-min,C-min
104,12103,C-min,C-min
105,12104,C-min,C-min
106,12105,C-min,C-min
107,12106,C-min,C-min
108,12107,C-min,C-min
109,12108,C-min,C-min
110,12109,C-min,C-min
111,12110,C-min,C-min
112,12111,C-min,C-min
113,12112,C-min,C-min
114,12113,C-min,C-min
115,12114,C-min,C-min
116,12115,C-min,C-min
117,12116,C-min,C-min
118,12117,C-min,C-min
119,12118,C-min,C-min
120,12119,C-min,C-min
121,12120,C-min,C-min
122,12121,C-min,C-min
123,12122,C-min,C-min
124,12123,C-min,C-min
125,12124,C-min,C-min
126,12125,C-min,C-min
127,12126,C-min,C-min
128,12127,C-min,C-min
129,12128,C-min,C-min
130,12129,C-min,C-min
131,12130,C-min,C-min
132,12131,C-min,C-min
133,12132,C-min,C-min
134,12133,C-min,C-min
135,12134,C-min,C-min
136,12135,C-min,C-min
137,12136,C-min,C-min
138,12137,C-min,C-min
139,12138,C-min,C-min
140,12139,C-min,C-min
141,12140,C-min,C-min
142,12141,C-min,C-min
143,12142,C-min,C-min
144,12143,C-min,C-min
145,12144,C-min,C-min
146,12145,C-min,C-min
147,12146,C-min,C-min
148,12147,C-min,C-min
149,12148,C-min,C-min
150,12149,C-min,C-min
151,12150,C-min,C-min
152,12151,C-min,C-min
153,12152,C-min,C-min
154,12153,C-min,C-min
155,12154,C-min,C-min
156,12155,C-min,C-min
157,12156,C-min,C-min
158,12157,C-min,C-min
159,12158,C-min,C-min
160,12159,C-min,C-min
161,12160,C-min,C-min
162,12161,C-min,C-min
163,12162,C-min,C-min
164,12163,C-min,C-min
165,12164,C-min,C-min
166,12165,C-min,C-min
167,12166,C-min,C-min
168,12167,C-min,C-min
169,12168,C-min,C-min
170,12169,C-min,C-min
171,12170,C-min,C-min
172,12171,C-min,C-min
173,12172,C-min,C-min
174,12173,C-min,C-min
175,12174,C-min,C-min
176,12175,C-min,C-min
177,12176,C-min,C-min
178,12177,C-min,C-min
179,12178,C-min,C-min
180,12179,C-min,C-min
181,12180,C-min,C-min
182,12181,C-min,C-min
183,12182,C-min,C-min
184,12183,C-min,C-min
185,12184,C-min,C-min
186,12185,C-min,C-min
187,12186,C-min,C-min
188,12187,C-min,C-min
189,12188,C-min,C-min
190,12189,C-min,C-min
191,12190,C-min,C-min
192,12191,C-min,C-min
193,12192,C-min,C-min
194,12193,C-min,C-min
195,12194,C-min,C-min
196,12195,C-min,C-min
197,12196,C-min,C-min
198,12197,C-min,C-min
199,12198,C-min,C-min
200,12199,C-min,C-min
201,12200,C-min,C-min
202,12201,C-min,C-min
203,12202,C-min,C-min
204,12203,C-min,C-min
205,12204,C-min,C-min
206,12205,C-min,C-min
207,12206,C-min,C-min
208,12207,C-min,C-min
209,12208,C-min,C-min
210,12209,C-min,C-min
211,12210,C-min,C-min
212,12211,C-min,C-min
214,12212,C-min,C-min
215,12213,C-min,C-min
216,12214,C-min,C-min
217,12215,C-min,C-min
218,12216,C-min,C-min
219,12217,C-min,C-min
220,12218,C-min,C-min
221,12219,C-min,C-min
222,12220,C-min,C-min
223,12221,C-min,C-min
224,12222,C-min,C-min
225,12223,C-min,C-min
