,C.max,C.min,Si.max,Si.min,Mn.max,Mn.min,P.max,P.min,S.max,S.min,Cr.max,Cr.min,Ni.max,Ni.min,Mo.max,Mo.min,N.max,N.min,Ti.max,Ti.min,V.max,V.min,Nb.max,Nb.min,B.max,B.min,Co.max,Co.min,更多
48,1.2,0.6,1.5,0.8,1,0.5,0.035,-,0.03,-,9,3,1.2,0.2,5,2,,,,,3,0.4,,,,,,,
49,0.2,-,0.6,-,0.8,-,0.025,-,0.025,-,0.35,-,0.4,-,0.15,-,,,,,0.05,-,,,,,,,残余元素Ni+Cr+Cu+Mo+V≤1.0
50,0.03,-,1,-,1,-,0.035,-,0.025,-,27,25,8,6,5,3,0.22,0.12,,,,,,,,,,,
51,0.5,0.3,2.5,1,2,-,0.04,-,0.03,-,27,24,14,11,0.5,-,,,,,,,,,,,,,
52,0.2,0.15,0.6,-,1,0.5,0.02,-,0.02,-,1.5,1,0.4,-,0.65,0.45,,,,,0.05,-,,,,,,,
53,0.6,0.2,2,-,2,-,0.03,-,0.03,-,32,28,22,18,0.5,-,,,,,,,,,,,,,
54,0.03,-,1.5,-,2,-,0.035,-,0.025,-,20,18,12,9,2.5,2,0.2,-,,,,,,,,,,,
55,0.37,0.3,0.5,0.3,0.8,0.5,0.03,-,0.03,-,1.2,0.8,0.3,-,0.3,0.2,,,,,,,,,,,,,
56,0.4,0.2,1.5,-,1,-,0.035,-,0.025,-,14,11.5,1,-,0.5,-,,,,,,,,,,,,,
57,0.25,0.17,0.6,-,1.6,1,0.025,-,0.025,-,0.35,-,0.4,-,0.15,-,,,,,0.05,-,,,,,,,残余元素Ni+Cr+Cu+Mo+V≤1.0
58,0.22,0.17,1,-,1,-,0.04,-,0.03,-,14,12,1,-,1.3,0.9,,,,,,,,,,,,,
59,0.55,0.45,0.6,0.2,1.2,0.6,0.035,-,0.03,-,3,1,1,0.3,0.7,0.3,,,,,0.15,0.05,,,,,,,
60,0.6,0.35,1,-,2,-,0.04,-,0.03,-,22,19,22,18,3,2.5,,,,,,,,,,,22,18,
61,0.2,0.15,0.6,-,0.9,0.5,0.02,-,0.015,-,1.5,1.2,0.4,-,1.1,0.9,,,,,0.3,0.2,,,,,,,
62,0.55,0.35,2,-,2,-,0.03,-,0.03,-,28,24,37,33,0.5,-,,,,,,,,,,,,,
63,0.07,-,1.5,-,1.5,-,0.04,-,0.03,-,20,18,12,9,2.5,2,,,,,,,,,,,,,
64,0.3,0.25,0.8,0.3,0.9,0.6,0.03,-,0.03,-,0.85,0.35,0.8,0.4,0.55,0.35,,,,,,,,,,,,,
65,0.045,-,1,-,1,-,0.028,-,0.012,-,14,11.5,6,4.5,1,0.4,,,,,0.08,-,,,,,,,
