,C.max,C.min,Si.max,Si.min,Mn.max,Mn.min,P.max,P.min,S.max,S.min,Cr.max,Cr.min,Ni.max,Ni.min,Mo.max,Mo.min,N.max,N.min,Ti.max,Ti.min,V.max,V.min,Nb.max,Nb.min,B.max,B.min,Co.max,Co.min,更多
203,0.24,0.16,1,-,0.6,-,0.035,-,0.025,-,14,11.5,,,,,,,,,,,,,,,,,
204,0.25,0.17,0.6,-,1.2,0.8,0.025,-,0.025,-,0.35,-,0.4,-,0.15,-,,,,,0.05,-,,,,,,,残余元素Ni+Cr+Cu+Mo+V≤1.0
205,0.45,0.35,0.6,0.2,1.2,0.6,0.035,-,0.03,-,3.5,2,0.8,-,0.7,0.3,,,,,0.15,0.05,,,,,,,
206,0.5,0.3,2.5,1,1.5,-,0.04,-,0.03,-,28,25,6,3,0.5,-,,,,,,,,,,,,,
207,0.15,0.1,0.45,-,0.7,0.4,0.03,-,0.02,-,0.5,0.3,0.4,-,0.6,0.4,,,,,0.3,0.22,,,,,,,
208,0.35,0.2,2.5,-,2,-,0.03,-,0.03,-,17,13,37,33,,,,,,,,,,,,,,,
209,0.05,-,1,-,2,-,0.035,-,0.025,-,27,25,6.5,4.5,2,1.3,0.2,0.12,,,,,,,,,,,
210,0.5,0.3,2.5,1,2,-,0.04,-,0.03,-,27,24,22,19,0.5,-,,,,,,,,,,,,,
211,0.54,0.46,0.5,0.25,0.8,0.5,0.03,-,0.03,-,1.2,0.9,0.3,-,0.25,0.15,,,,,,,,,,,,,
212,0.045,-,1,-,1,-,0.028,-,0.012,-,14,11.5,5,3.8,1,0.4,,,,,0.08,-,,,,,,,
213,,,,,,,0.035,-,0.03,-,,,,,,,,,,,,,,,,,,,
214,0.23,0.17,0.8,-,1.3,1,0.03,-,0.03,-,,,0.8,-,0.15,-,,,,,,,,,,,,,
215,0.65,0.55,0.6,0.2,1,0.5,0.035,-,0.03,-,1.2,0.8,1.5,0.2,0.6,0.2,,,,,,,,,,,,,
216,0.5,0.3,2.5,1,2,-,0.04,-,0.03,-,18,16,36,34,0.5,-,,,,,,,,,,,,,
217,0.28,0.23,0.6,-,0.9,0.6,0.03,-,0.025,-,0.9,0.7,2,1,0.3,0.2,,,,,0.03,-,,,,,,,
218,0.35,0.2,2,-,2,-,0.03,-,0.03,-,28,24,22,18,0.5,-,,,,,,,,,,,,,
219,0.03,-,1.5,-,1.5,-,0.04,-,0.03,-,20,18,12,9,3.5,3,,,,,,,,,,,,,
220,0.37,0.3,0.9,0.6,1,0.7,0.03,-,0.03,-,0.9,0.4,0.9,0.6,0.5,0.4,,,,,,,,,,,,,
221,0.06,-,1,-,1,-,0.03,-,0.025,-,14,11.5,5.5,4.5,1,0.4,,,,,0.08,-,,,,,,,
222,0.75,0.65,0.45,0.2,1.2,0.9,0.035,-,0.03,-,,,,,,,,,,,,,,,,,,,
223,0.5,0.3,2.5,1,2,-,0.04,-,0.03,-,21,18,39,36,0.5,-,,,,,,,,,,,,,
224,0.12,0.06,0.6,-,0.8,0.5,0.02,-,0.015,-,0.3,-,4,3,0.2,-,,,,,0.05,-,,,,,,,
225,1.05,0.9,0.9,0.3,14,11,0.06,-,0.04,-,,,,,,,,,,,,,,,,,,,
