牌号,欧标钢号,对应标准,归类,性能,标签,说明,旧牌号,德国W-Nr.,美国UNS,其他名称
G-X20CrMo13,,德标,铸钢,,,是标准《DIN 17442-1977医疗仪器用轧制、锻造或铸造不锈钢产品》中的牌号，已被标准《DIN ED ISO 7153-1：2001》代替。,,1.412,,
AS50,,GB /T 1503-2008 铸钢轧辊,铸钢,,合金钢,,,,,
ZG45Cr20Co20Ni20Mo3W3,,GB /T 8492-2014 一般用途耐热钢和合金铸件,铸钢,,,,,,,
ZG18CrMoV,,GB /T 16253-2019 承压钢铸件,铸钢,,,,,,,
ZG45Ni35Cr26,,JB /T 6403-2017 大型耐热钢铸件 技术条件,铸钢,,,,,,,
ZG07Cr19Ni11Mo2,,GB /T 2100-2017 通用耐蚀钢铸件,铸钢,,,,,,,
ZG28NiCrMo,,JB /T 6402-2018 大型低合金钢铸件 技术条件,铸钢,,,,,,,
ZG04Cr13Ni5Mo,,JB /T 6405-2018 大型不锈钢铸件 技术条件,铸钢,,,,,,,
AS65,,GB /T 1503-2008 铸钢轧辊,铸钢,,合金钢,,,,,
ZG40Ni35Cr26Si2,,GB /T 8492-2014 一般用途耐热钢和合金铸件,铸钢,,,,,,,
ZG17Ni3Cr2Mo,,GB /T 16253-2019 承压钢铸件,铸钢,,,,,,,
ZG23Cr19Mn10Ni2Si2N,,JB /T 6403-2017 大型耐热钢铸件 技术条件,铸钢,,,,ZG20Cr20Mn9Ni2SiN,,,
ZG03Cr19Ni11Mo3N,,GB /T 2100-2017 通用耐蚀钢铸件,铸钢,,,,,,,
ZG20Cr13,,GB /T 6967-2009 工程结构用中、高强度不锈钢铸件,铸钢,,,,,,,
ZG06Cr13Ni6Mo,,JB /T 6405-2018 大型不锈钢铸件 技术条件,铸钢,,,,,,,
AS70Ⅰ,,GB /T 1503-2008 铸钢轧辊,铸钢,,合金钢,,ZU70Mn2,,,
ZG40Ni38Cr19Si2Nb1,,GB /T 8492-2014 一般用途耐热钢和合金铸件,铸钢,,,,,,,
ZG16Cr5Mo,,GB /T 16253-2019 承压钢铸件,铸钢,,,,,,,
ZG110Mn13,,JB /T 6404-2017 大型高锰钢铸件 技术条件,铸钢,,,,,,,
ZG03Cr26Ni7Mo4CuN,,GB /T 2100-2017 通用耐蚀钢铸件,铸钢,,,,,,,
ZG10Cr13Ni1Mo,,GB /T 6967-2009 工程结构用中、高强度不锈钢铸件,铸钢,,,,,,,
ZG08Cr20Ni11Mo4,,JB /T 6405-2018 大型不锈钢铸件 技术条件,铸钢,,,,ZG08Cr19Ni11Mo3,,,
ZG35Mn,,JB /T 6402-2018 大型低合金钢铸件 技术条件,铸钢,,,,,,,
AS75Ⅰ,,GB /T 1503-2008 铸钢轧辊,铸钢,,合金钢,,ZU75CrNiMnMo,,,
ZNiCr19Fe18Si1C0.5,,GB /T 8492-2014 一般用途耐热钢和合金铸件,铸钢,,,,,,,
ZG12Cr9Mo2CoNiVNbNB,,GB /T 16253-2019 承压钢铸件,铸钢,,,,,,,
ZG120Mn13Cr2,,JB /T 6404-2017 大型高锰钢铸件 技术条件,铸钢,,,,,,,
ZG025Cr20Ni19Mo7CuN,,GB /T 2100-2017 通用耐蚀钢铸件,铸钢,,,,,,,
ZG06Cr16Ni5Mo,,GB /T 6967-2009 工程结构用中、高强度不锈钢铸件,铸钢,,,,,,,
ZG03Cr22Ni6Mo3N,,JB /T 6405-2018 大型不锈钢铸件 技术条件,铸钢,,,,ZG03Cr22Ni5Mo3N,,,
ZG40Mn2,,JB /T 6402-2018 大型低合金钢铸件 技术条件,铸钢,,,,,,,
AD160,,GB /T 1503-2008 铸钢轧辊,铸钢,,半钢,,ZUB160CrMo,,,
ZCoCr28Fe18C0.3,,GB /T 8492-2014 一般用途耐热钢和合金铸件,铸钢,,,,,,,
ZG05Cr13Ni4,,GB /T 16253-2019 承压钢铸件,铸钢,,,,,,,
