最大值,1.35,0.9,19,0.06,0.04,2.5,,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,,,,,,,
最小值,0.3,1,0.5,-,-,12,-,-,,,,,,,
最大值,0.5,2.5,1,0.04,0.03,14,1,0.5,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu ,Mo,V ,,,,,
最小值,-,-,-,-,-,-,-,-,-,-,,,,,
最大值,0.4,0.5,0.9,0.04,0.04,0.35,0.3,0.3,0.2,0.05,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,,,,,,,
最小值,0.3,1,0.5,-,-,12,-,-,,,,,,,
最大值,0.5,2.5,1,0.03,0.03,14,1,0.5,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,,,,,,,
最小值,-,-,-,-,-,12,1,0.2,,,,,,,
最大值,0.1,1,1,0.035,0.025,13.5,2,0.5,,,,,,,
成分,C,Si,Mn,P,S,Cr ,Ni ,Cu,Mo,V ,,,,,
最小值,0.17,0.2,1.1,-,-,-,-,-,0.2,-,,,,,
最大值,0.23,0.4,1.4,0.03,0.03,0.3,0.3,0.3,0.35,0.05,,,,,
成分,C,Si,Mn,P,S,Cr,Mo,,,,,,,,
最小值,1.3,1.3,0.5,-,-,0.4,0.2,,,,,,,,
最大值,1.5,1.6,1,0.035,0.03,1,0.5,,,,,,,,
成分,C,Si,Mn,P,S,Cr,,,,,,,,,
最小值,1.05,0.3,11,-,-,1.5,,,,,,,,,
最大值,1.35,0.9,14,0.06,0.04,2.5,,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,更多,,,,,,
最小值,-,-,-,-,-,18,9,-,Nb：8C~1.0,,,,,,
最大值,0.07,1.5,1.5,0.04,0.03,20,12,0.5,Nb：8C~1.0,,,,,,
成分,C,Si,Mn,P,S,,,,,,,,,,
最小值,0.9,0.3,11,-,-,,,,,,,,,,
最大值,1.3,0.8,14,0.08,0.04,,,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,,,,,,,
最小值,1.2,1,0.5,-,-,27,-,-,,,,,,,
最大值,1.4,2.5,1,0.04,0.03,30,1,0.5,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu ,Mo,V ,更多,,,,
最小值,0.18,-,0.5,-,-,-,-,-,-,-,Cr+Ni+Cu+Mo+V≤1.00,,,,
最大值,0.23,0.6,1.2,0.03,0.02,0.3,0.4,0.3,0.12,0.03,Cr+Ni+Cu+Mo+V≤1.00,,,,
成分,C,Si,Mn,P,S,Cr,N,,,,,,,,
最小值,0.26,1.6,11,-,-,17,0.22,,,,,,,,
最大值,0.36,2.4,13,0.03,0.03,20,0.28,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,,,,,,,
最小值,0.32,-,0.6,-,-,1.4,1.4,0.15,,,,,,,
最大值,0.38,0.6,1,0.025,0.02,1.7,1.7,0.35,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,,,,,,,
最小值,-,-,-,-,-,15,4,0.7,,,,,,,
最大值,0.06,0.8,1,0.035,0.025,17,6,1.5,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu ,Mo,V ,,,,,
最小值,0.35,0.2,0.5,-,-,0.8,-,-,-,-,,,,,
最大值,0.45,0.4,0.8,0.03,0.03,1.1,0.3,0.25,0.15,0.05,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,,,,,,,
最小值,1.8,0.8,0.6,-,-,0.5,0.6,0.2,,,,,,,
最大值,2,1.5,1,0.035,0.03,2,2.2,0.8,,,,,,,
成分,C,Si,Mn,P,S,Mo,,,,,,,,,
最小值,0.7,0.3,13,-,-,1,,,,,,,,,
最大值,1,0.6,15,0.07,0.04,1.8,,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,更多,,,,,
最小值,-,-,-,-,-,18,9,-,2,Nb：8C~1.0,,,,,
最大值,0.07,1.5,1.5,0.04,0.03,20,12,0.5,2.5,Nb：8C~1.0,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,,,,,,,
最小值,0.15,1,-,-,-,19,13,-,,,,,,,
最大值,0.35,2.5,2,0.04,0.03,21,15,0.5,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,V,,,,,
最小值,0.17,-,0.5,-,-,-,-,-,-,-,,,,,
最大值,0.23,0.6,1,0.02,0.02,0.3,0.8,0.3,0.12,0.03,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,,,,,,,,
最小值,0.2,-,-,-,-,24,11,,,,,,,,
最大值,0.5,2,2,0.03,0.03,28,14,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,N,,,,,,,
最小值,-,-,-,-,-,18,9,0.12,,,,,,,
最大值,0.03,1.5,2,0.04,0.03,20,12,0.2,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,V,,,,,
最小值,0.12,0.2,0.4,-,-,1.2,-,-,0.9,0.25,,,,,
最大值,0.2,0.6,0.7,0.03,0.03,1.7,0.3,0.3,1.2,0.4,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,W,V,,,,,
最小值,0.6,0.8,0.5,-,-,3,0.2,2,-,0.4,,,,,
最大值,1.2,1.5,1,0.035,0.03,9,1.2,5,3,3,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,V,更多,,,,
最小值,-,-,-,-,-,-,-,-,-,-,残余元素Ni+Cr+Cu+Mo+V≤1.0,,,,
最大值,0.2,0.6,0.8,0.025,0.025,0.35,0.4,0.4,0.15,0.05,残余元素Ni+Cr+Cu+Mo+V≤1.0,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,N,,,,,
最小值,-,-,-,-,-,25,6,-,3,0.12,,,,,
最大值,0.03,1,1,0.035,0.025,27,8,1.3,5,0.22,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,,,,,,,
最小值,0.3,1,-,-,-,24,11,-,,,,,,,
最大值,0.5,2.5,2,0.04,0.03,27,14,0.5,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,V,,,,,
最小值,0.15,-,0.5,-,-,1,-,-,0.45,-,,,,,
最大值,0.2,0.6,1,0.02,0.02,1.5,0.4,0.3,0.65,0.05,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,,,,,,,
最小值,0.2,-,-,-,-,28,18,-,,,,,,,
最大值,0.6,2,2,0.03,0.03,32,22,0.5,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,N,,,,,,
最小值,-,-,-,-,-,18,9,2,-,,,,,,
最大值,0.03,1.5,2,0.035,0.025,20,12,2.5,0.2,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu ,Mo,V ,,,,,
最小值,0.3,0.3,0.5,-,-,0.8,-,-,0.2,-,,,,,
最大值,0.37,0.5,0.8,0.03,0.03,1.2,0.3,0.25,0.3,0.05,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,,,,,,,
最小值,0.2,-,-,-,-,11.5,-,-,,,,,,,
最大值,0.4,1.5,1,0.035,0.025,14,1,0.5,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,V,更多,,,,
最小值,0.17,-,1,-,-,-,-,-,-,-,残余元素Ni+Cr+Cu+Mo+V≤1.0,,,,
最大值,0.25,0.6,1.6,0.025,0.025,0.35,0.4,0.4,0.15,0.05,残余元素Ni+Cr+Cu+Mo+V≤1.0,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,,,,,,,
最小值,0.17,-,-,-,-,12,-,0.9,,,,,,,
最大值,0.22,1,1,0.04,0.03,14,1,1.3,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,V,,,,,,
最小值,0.45,0.2,0.6,-,-,1,0.3,0.3,0.05,,,,,,
最大值,0.55,0.6,1.2,0.035,0.03,3,1,0.7,0.15,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,W,Co,,,,,
最小值,0.35,-,-,-,-,19,18,2.5,2,18,,,,,
最大值,0.6,1,2,0.04,0.03,22,22,3,3,22,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,V,,,,,
最小值,0.15,-,0.5,-,-,1.2,-,-,0.9,0.2,,,,,
最大值,0.2,0.6,0.9,0.02,0.015,1.5,0.4,0.3,1.1,0.3,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,,,,,,,
最小值,0.35,-,-,-,-,24,33,-,,,,,,,
最大值,0.55,2,2,0.03,0.03,28,37,0.5,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,,,,,,,
最小值,-,-,-,-,-,18,9,2,,,,,,,
最大值,0.07,1.5,1.5,0.04,0.03,20,12,2.5,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu ,Mo,V ,,,,,
最小值,0.25,0.3,0.6,-,-,0.35,0.4,-,0.35,-,,,,,
最大值,0.3,0.8,0.9,0.03,0.03,0.85,0.8,0.25,0.55,0.05,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,W,V,,,,
最小值,-,-,-,-,-,11.5,4.5,-,0.4,-,-,,,,
最大值,0.045,1,1,0.028,0.012,14,6,0.5,1,0.1,0.08,,,,
