,0
566,2312328
567,2050191
568,1730706
569,657555
570,2107539
571,1091736
572,2541720
573,1845402
574,1960098
575,1812657
576,2189490
577,796854
578,854202
579,157884
580,649413
581,706761
582,1083594
583,10443
584,2533578
585,764109
586,2214093
587,1575123
588,2386137
589,1747167
590,2124000
591,2500833
592,354531
593,2558181
594,35046
595,788712
596,469227
597,526575
598,264438
599,2148603
600,1452285
601,1132800
602,2582784
603,1566981
604,1624329
605,2377995
606,289041
607,1739025
608,461085
609,1386795
610,1444143
611,428340
612,805173
613,1558839
614,2312505
615,1239354
616,2369853
617,2050368
618,1730883
619,657732
620,2107716
621,1091913
622,2189667
623,43365
624,420198
625,797031
626,854379
627,1608045
628,592242
629,649590
630,706938
631,1083771
632,10620
633,2533755
634,764286
635,2214270
636,67968
637,1575300
638,2386314
639,1747344
640,2124177
641,2501010
642,354708
643,2181525
644,35223
645,788889
646,469404
647,264615
648,1771947
649,1452462
650,1132977
651,1567158
652,1624506
653,2378172
654,289218
655,1739202
656,2173383
657,461262
658,838095
659,1386972
660,1444320
661,428517
662,805350
663,1559016
664,2312682
665,1239531
666,2370030
667,2050545
668,1731060
669,657909
670,2107893
671,1092090
672,2189844
673,43542
674,797208
675,854556
676,158238
677,2361888
678,649767
679,707115
680,1083948
681,10797
682,2533932
683,764463
684,2214447
685,68145
686,1575477
687,1255992
688,2386491
689,1747521
690,2124354
691,2501187
692,354885
693,2181702
694,2558535
695,35400
696,469581
697,1600080
698,1452639
699,1133154
700,1567335
701,1624683
702,2378349
703,289395
704,1739379
705,461439
706,1387149
707,313998
708,1444497
709,805527
710,1559193
711,2312859
712,2370207
713,2050722
714,2108070
715,1092267
716,2542251
717,1845933
718,2190021
719,43719
720,797385
721,854733
722,158415
723,1608399
724,2362065
725,592596
726,649944
727,707292
728,1084125
729,10974
730,2534109
731,764640
732,2214624
733,68322
734,1575654
735,1952487
736,2386668
737,617199
738,1747698
739,2501364
740,355062
741,1805046
742,2181879
743,35577
744,2558712
745,469758
746,264969
747,1075983
748,2832
749,2525967
750,2206482
751,1133331
752,1567512
753,1624860
754,2378526
755,1739556
756,461616
757,314175
758,1444674
759,805704
760,2313036
761,2370384
762,2050899
763,977748
764,338778
765,1788762
766,1092444
767,2509683
768,2190198
769,43896
770,797562
771,854910
772,2362242
773,592773
774,650121
775,1084302
776,2534286
777,764817
778,2214801
779,1575831
780,2386845
781,617376
782,1747875
783,2501541
784,355239
785,2182056
786,2558889
787,469935
788,846768
789,1600434
790,265146
791,3009
792,2206659
793,1567689
794,1625037
795,2378703
796,289749
797,1739733
798,2231262
799,461793
800,257004
801,2460654
802,314352
803,1444851
804,1559547
805,2313213
806,2370561
807,2051076
808,977925
809,2108424
810,338955
811,1788939
812,1092621
813,2509860
814,2190375
815,44073
816,797739
817,158769
818,2362419
819,650298
820,1780797
821,1084479
822,11328
823,1838145
824,2214978
825,1576008
826,617553
827,1748052
828,2124885
829,2501718
830,355416
831,1805400
832,2182233
833,35931
834,2559066
835,470112
836,846945
837,265323
838,1076337
839,2206836
840,2583669
841,1510518
842,1567866
843,1625214
844,2378880
845,1739910
846,2231439
847,461970
848,257181
849,1445028
850,1559724
851,2313390
852,1240239
853,2370738
854,978102
855,339132
856,1789116
857,1092798
858,2337993
859,2075856
860,2510037
861,2190552
862,44250
863,421083
864,158946
865,2362596
866,593127
867,650475
868,1780974
869,1084656
870,11505
871,2215155
872,68853
873,1576185
874,1953018
875,617730
876,1748229
877,2501895
878,355593
879,2182410
880,470289
881,847122
882,1600788
883,265500
884,1076514
885,3363
886,757029
887,2207013
888,1510695
889,2583846
890,1568043
891,1625391
892,2379057
893,1740087
894,2231616
895,462147
896,257358
897,1445205
898,52569
899,806235
900,1559901
901,2370915
902,2051430
903,339309
904,1789293
905,1092975
906,2076033
907,2190729
908,421260
909,798093
910,159123
911,2362773
912,650652
913,1781151
914,1084833
915,11682
916,2534817
917,2215332
918,69030
919,1953195
920,617907
921,2502072
922,355770
923,1805754
924,2182587
925,36285
926,2559420
927,470466
928,847299
929,961995
930,1396176
931,1076691
932,3540
933,2207190
934,2584023
935,1510872
936,1568220
937,2379234
938,1740264
939,2174445
940,28143
941,2231793
942,462324
943,257535
944,1445382
945,806412
946,1560078
947,1732122
948,1789470
949,1093152
950,2543136
951,2076210
952,2510391
953,44604
954,421437
955,798270
956,159300
957,2362950
958,593481
959,650829
960,1085010
961,11859
962,2534994
963,765525
964,2215509
965,69207
966,618084
967,2502249
968,355947
969,2559597
970,36462
971,470643
972,847476
973,1601142
974,527991
975,2354808
